Date,Mark Minervini,William O'Neil,Jesse Livermore,Steve Burns,50 檔平均持有,加權指數
2013-02-24,1.0045,1.0,1.0051,1.0056,1.0037,1.0052
2013-03-03,1.015,1.0,1.0124,1.0133,1.0082,1.0073
2013-03-10,1.0326,1.0,1.0303,1.0263,1.0204,1.0137
2013-03-17,1.0226,0.9934,1.0206,1.0184,1.0092,1.0026
2013-03-24,1.0111,0.979,1.0147,1.0062,0.9962,0.986
2013-03-31,1.0272,0.972,1.0396,1.0239,1.0125,1.0015
2013-04-07,1.0374,0.9956,1.0425,1.0306,1.0159,1.0045
2013-04-14,1.027,1.0008,1.0302,1.0153,0.9986,0.9892
2013-04-21,1.0298,0.9978,1.0238,1.0219,1.0044,1.0031
2013-04-28,1.0456,1.013,1.0317,1.034,1.0176,1.0146
2013-05-05,1.071,1.0447,1.0527,1.0569,1.0336,1.0289
2013-05-12,1.0788,1.0344,1.076,1.0687,1.0488,1.0473
2013-05-19,1.0976,1.0457,1.0949,1.0898,1.0663,1.0584
2013-05-26,1.0662,0.9994,1.0646,1.0616,1.0445,1.0383
2013-06-02,1.0867,1.0428,1.0803,1.0766,1.0554,1.044
2013-06-09,1.0511,0.9924,1.0112,1.0472,1.0275,1.0238
2013-06-16,1.0321,0.9586,0.9941,1.0327,1.0111,1.0039
2013-06-23,1.0116,0.9734,0.9846,1.0164,0.9933,0.9857
2013-06-30,1.0446,0.9734,1.0049,1.0544,1.0351,1.0197
2013-07-07,1.0567,0.9734,0.9988,1.0534,1.0396,1.012
2013-07-14,1.0776,0.9734,1.0094,1.0881,1.0733,1.0397
2013-07-21,1.0581,0.9455,1.0059,1.0737,1.0635,1.0197
2013-07-28,1.0669,0.8937,1.0145,1.0883,1.0803,1.0307
2013-08-04,1.0731,0.9035,1.0122,1.0936,1.0807,1.0244
2013-08-11,1.0289,0.8897,0.962,1.0519,1.0416,0.9936
2013-08-18,1.0406,0.8897,0.9671,1.0623,1.0585,1.0023
2013-08-25,1.0415,0.8897,0.9766,1.0558,1.0553,0.9958
2013-09-01,1.0554,0.8897,0.9776,1.0725,1.0759,1.0146
2013-09-08,1.0714,0.8986,0.9817,1.0878,1.0984,1.0326
2013-09-15,1.0762,0.9045,0.9798,1.0902,1.1037,1.0331
2013-09-22,1.0838,0.9082,0.9843,1.0984,1.1117,1.0383
2013-09-29,1.0893,0.8972,0.9769,1.1023,1.1126,1.041
2013-10-06,1.1163,0.9309,0.993,1.1221,1.1267,1.0579
2013-10-13,1.1251,0.9256,0.9964,1.1203,1.1182,1.056
2013-10-20,1.1272,0.9213,0.9988,1.1291,1.1333,1.0676
2013-10-27,1.1175,0.9125,0.9791,1.1144,1.1197,1.0556
2013-11-03,1.1186,0.907,0.9724,1.1159,1.1245,1.0609
2013-11-10,1.1185,0.888,0.9676,1.1101,1.1144,1.0408
2013-11-17,1.1058,0.8826,0.9287,1.1008,1.1052,1.0342
2013-11-24,1.1179,0.8826,0.929,1.1027,1.1012,1.0266
2013-12-01,1.1826,0.8826,0.9807,1.1541,1.1522,1.0633
2013-12-08,1.1908,0.8805,0.9801,1.1536,1.1521,1.0583
2013-12-15,1.1985,0.8827,0.9809,1.1663,1.1571,1.0595
2013-12-22,1.1988,0.8729,0.9831,1.1678,1.1606,1.0635
2013-12-29,1.2036,0.8801,0.9881,1.1777,1.1754,1.0795
2014-01-05,1.2068,0.9088,0.9957,1.1827,1.1797,1.0809
2014-01-12,1.1878,0.8889,0.9977,1.1751,1.18,1.0788
2014-01-19,1.2051,0.8815,1.0002,1.1922,1.1942,1.0872
2014-01-26,1.204,0.8863,1.0037,1.1971,1.1965,1.0875
2014-02-02,1.185,0.8712,0.9865,1.1766,1.1779,1.0703
2014-02-09,1.1782,0.8538,0.9798,1.1657,1.1684,1.0608
2014-02-16,1.1935,0.8397,0.976,1.184,1.1863,1.0768
2014-02-23,1.2288,0.8689,0.9971,1.2098,1.2072,1.0879
2014-03-02,1.2521,0.8951,1.0146,1.2158,1.2134,1.0927
2014-03-09,1.2813,0.9206,1.0187,1.2249,1.2218,1.1021
2014-03-16,1.2862,0.9097,1.0225,1.2167,1.2166,1.0988
2014-03-23,1.2505,0.8907,0.9918,1.1938,1.2019,1.0848
2014-03-30,1.2917,0.8845,1.0137,1.2248,1.2341,1.1098
2014-04-06,1.3141,0.9124,1.026,1.2405,1.2477,1.1242
2014-04-13,1.3175,0.8881,1.0252,1.2493,1.2579,1.1267
2014-04-20,1.321,0.8918,1.0331,1.2527,1.2643,1.1341
2014-04-27,1.3132,0.886,1.0226,1.2356,1.2448,1.1097
2014-05-04,1.3358,0.9188,1.0347,1.2524,1.2602,1.1215
2014-05-11,1.3425,0.9457,1.0318,1.2586,1.2665,1.1243
2014-05-18,1.3536,0.9196,1.0416,1.2736,1.2785,1.1242
2014-05-25,1.3932,0.9433,1.0603,1.2979,1.3011,1.1393
2014-06-01,1.4116,0.9362,1.0731,1.3174,1.3174,1.1479
2014-06-08,1.4358,0.9961,1.0784,1.3312,1.3271,1.1553
2014-06-15,1.443,0.9953,1.0907,1.3457,1.3428,1.1631
2014-06-22,1.4652,1.0337,1.0943,1.3602,1.356,1.1729
2014-06-29,1.4686,1.0603,1.1028,1.3664,1.3616,1.1771
2014-07-06,1.5151,1.073,1.1204,1.4014,1.393,1.2028
2014-07-13,1.5026,1.1214,1.1272,1.4011,1.3973,1.201
2014-07-20,1.497,1.0698,1.1326,1.4039,1.4055,1.189
2014-07-27,1.5068,1.0966,1.1449,1.4172,1.4186,1.1938
2014-08-03,1.4726,1.0448,1.1249,1.3917,1.3967,1.172
2014-08-10,1.4612,1.0423,1.0952,1.377,1.3808,1.1492
