Date,Mark Minervini,William O'Neil,Jesse Livermore,Steve Burns,機器學習（前 10 名）,50 檔平均持有,加權指數
2021-07-11,0.9873,0.8348,0.9757,0.9935,0.9852,0.994,0.986
2021-07-18,1.0111,0.8598,0.9885,1.0139,1.0226,1.0149,0.999
2021-07-25,0.9922,0.8458,0.9732,1.0026,1.0043,1.0033,0.981
2021-08-01,0.9844,0.8528,0.9578,0.9974,0.9795,0.9972,0.9628
2021-08-08,0.9982,0.8503,0.977,1.0117,1.0017,1.007,0.9784
2021-08-15,0.9652,0.8075,0.9463,0.9802,0.9725,0.979,0.948
2021-08-22,0.9489,0.8052,0.9339,0.9626,0.9464,0.9608,0.9123
2021-08-29,1.0088,0.8052,0.9884,1.0006,0.9892,1.0,0.9607
2021-09-05,1.0326,0.8052,0.9967,1.017,1.0033,1.0186,0.9779
2021-09-12,1.0298,0.8172,1.0092,1.0159,1.0015,1.0175,0.9755
2021-09-19,1.0269,0.7828,1.0045,1.0163,0.9977,1.0172,0.9645
2021-09-26,1.0294,0.7805,1.0059,1.0214,1.0049,1.0225,0.9636
2021-10-03,0.9839,0.7805,0.9642,0.9816,0.9746,0.9827,0.9251
2021-10-10,0.9892,0.7805,0.9729,0.9837,0.9565,0.9912,0.929
2021-10-17,0.9723,0.7805,0.9746,0.978,0.9625,0.9871,0.9368
2021-10-24,0.9837,0.7805,0.977,0.993,0.9834,0.9985,0.9428
2021-10-31,1.0146,0.7895,0.9895,1.0082,1.0304,1.0177,0.9483
2021-11-07,1.0315,0.8178,1.0155,1.0174,1.033,1.0387,0.9656
2021-11-14,1.0555,0.8568,1.0301,1.0392,1.0572,1.0583,0.978
2021-11-21,1.074,0.8452,1.0521,1.0558,1.0823,1.0746,0.9947
2021-11-28,1.0575,0.8049,1.0343,1.0366,1.0638,1.0565,0.9696
2021-12-05,1.0845,0.8424,1.056,1.0583,1.0782,1.0762,0.9879
2021-12-12,1.1059,0.86,1.0737,1.0728,1.101,1.0905,0.9952
2021-12-19,1.1015,0.8572,1.0738,1.0722,1.1136,1.0903,0.9944
2021-12-26,1.1184,0.8818,1.0926,1.0824,1.1413,1.1054,1.0027
2022-01-02,1.1334,0.8854,1.0974,1.0951,1.142,1.1167,1.0171
2022-01-09,1.1074,0.8385,1.0802,1.0842,1.1281,1.1099,1.0143
2022-01-16,1.1221,0.8152,1.0868,1.0944,1.1021,1.1137,1.0274
2022-01-23,1.1001,0.813,1.0729,1.0847,1.0949,1.102,0.9992
