feature,importance
mkt_drawdown_250,0.023112607642557143
low_52w_gap,0.004879265361664109
per,0.004792011053882532
mkt_trend_200,0.0033787585676703
rs_rating,0.003287136189189114
pbr,0.0022895815357534635
rev_yoy,0.0017482108629224096
up_down_volume,0.0013252158374098544
vwap_gap_20,0.0011318332447192159
ret_60,0.0009594574397962704
livermore_hold,0.0008928466900227083
per_vs_3y,0.000648332523470648
dividend_yield,0.0004987377439876206
ret_20,0.0003981091301832884
rsi_14,0.00031752334824595535
breakout_gap,0.0003036833630441123
ma_gap_20,0.0002483141086532063
high_52w_gap,0.00017856468121276356
volume_ratio,8.126567353872183e-05
minervini_score,4.295424747702281e-05
ret_5,0.0
burns_trend,-4.703359708591037e-06
rel_strength_20,-0.0004891354393152617
ma_gap_60,-0.0007455849632267605
macd_hist,-0.001312642499575097
mom_12_1,-0.0015784521749857745
faber_trend_200,-0.001792236172511304
volatility_20,-0.002902848417040508
hl_range,-0.004948334897503144
pbr_vs_3y,-0.0061846525796293945
breadth_200,-0.026300386522100816
